item,why_absent,upgrade_source,priority,notes
Inherited v10 energy row-level original bibliography,"The donor model and dated fixes survive, but the publications and calculation chain behind every inherited energy parameter were not retained.","Recover the original v7-v10 source package or rebuild a row-level register from authoritative DOE, PSA and technology-cost datasets.",medium,
Original model units for technology-specific activity and capacity rows,"The raw CSVs retain values and OSeMOSYS coordinates, but several non-energy CLEWs technologies use land, water or crop activity units rather than GW/PJ conventions and no complete unit dictionary survived.","Export the FUEL/TECHNOLOGY unit metadata from the exact pinned clewsy build and reconcile it against InputActivityRatio, OutputActivityRatio and CapacityToActivityUnit.",medium,
Original byte checksums for the 90 downloaded GAEZ crop rasters,"The exact filenames, URLs, source-table rows and selection logic were recovered, but the clean temporary cache itself was not frozen and no original per-file checksums survive.","Re-download the 90 URLs in GAEZ_PHL_RASTER_CACHE_MANIFEST.csv, retain the bytes and append independently verified SHA-256 values without claiming identity to the lost temporary bytes.",medium,
GADM 4.1 source archive checksum and original access date,"The extracted level-0 shapefile components survive, but the downloaded archive and acquisition log do not.","Retain the original or re-downloaded GADM 4.1 PHL archive with provider metadata, access date and SHA-256, then verify geometry equality.",medium,
Original upstream acquisition dates for bundled FAOSTAT SSP2 and GAEZ base-raster files,"The build session establishes the 2026-07-25 workflow date and the ledger establishes the 2026-08-05 recovery date, but it does not establish when upstream maintainers first acquired each bundled source file.",Recover immutable upstream release manifests or maintainer acquisition records; do not substitute the reconstruction date for an unknown historical acquisition date.,medium,
PAGASA gauge precipitation series and station metadata,The installed national normal uses ERA5 reanalysis; no retained PAGASA station/gauge extract was available for a country-weighted 1991-2020 reconstruction.,"Obtain PAGASA quality-controlled station series, station metadata and an explicit national aggregation method; compare against ERA5 before replacing the anchor.",medium,ERA5 is retained and clearly labeled reanalysis.
Raw CCKP HTTP response-body hashes,"The retained evidence is a normalized compilation with exact API URLs and values, but original response files and their download-time hashes were not preserved.","Re-download each exact endpoint, store raw JSON responses and response headers, and record one SHA-256 per response in SOURCES.csv.",medium,The normalized snapshot itself is retained and hash-verified.
Environmental-flow-adjusted surface availability,"The 125.79 km3/year figure is national surface-water potential, not dependable yield after environmental-flow reservation, storage, seasonality and conveyance losses.","National/basin dependable-yield studies, environmental-flow requirements, reservoir operating rules and observed allocation/withdrawal data.",high,The installed UCC is explicitly a sensitivity ceiling.
"Aquifer stock, head and safe yield","The 20.2 km3/year figure is national potential flow. The model has no aquifer polygons, initial head, saturated thickness, area, storage coefficient, natural discharge or admissible drawdown.",Aquifer-resolved hydrogeology and observed head series crosswalked to demand and recharge nodes; add a formulation that carries groundwater state between years.,high,No groundwater stock or depletion claim is made.
Seasonal and interannual water scarcity,"The installed annual median path cannot represent dry-season stress, typhoon sequencing, El Nino/La Nina variability or storage carryover.","PAGASA seasonal rainfall, basin runoff/recharge models, reservoir storage and seasonal demand/withdrawal data.",high,CCKP seasonal anomalies are retained as context but not installed.
"Pumping energy, lift and cost calibration","Inherited pumping-electricity links are retained, but groundwater lift, pumping efficiency, source depth and public/power pumping costs are not calibrated.","NWRB permits/well records, utility production and energy records, groundwater levels and pump efficiencies by source.",medium,The water link is physical 1:1; it does not determine the least-cost source split credibly.
Consistent national withdrawal boundary,"The PSA 218.46 bcm abstraction includes large non-consumptive hydropower, while the policy-note current-use figure and model withdrawals use different boundaries.","Reconcile NWRB permits, PSA physical water accounts, NIA irrigation diversions, MWSS/LWUA/utility production, industrial self-supply and hydropower return flows.",high,No observed source or sector share is calibrated in v15.
Cell-level land-cluster geometry and basin/aquifer crosswalk,The companion repository retains summary files and a cluster-map image but not cell membership geometry needed to allocate coefficient classes to basins or aquifers.,Recover or recreate the original classified raster and retain a reproducible cell-to-cluster/basin/aquifer crosswalk.,low for national model; high for spatial rebuild,The whole-country model does not require this artifact.
Groundwater-dependent ecosystems and natural discharge,"No national dataset was available to deduct baseflow, spring discharge or ecosystem requirements from the potential-flow ceiling.","Hydrogeologic water balances, baseflow separation, spring inventories and ecosystem flow requirements by aquifer/basin.",high,The groundwater ceiling is not safe yield.
Original v13 calibration workbook bytes,"The workbook file was not retained, although its SHA-256, selected factors, formulas, source hierarchy, and all installed values survive in calibration_generation.json and the current model.",Recover the workbook whose recorded SHA-256 is c8601bf26acce39d6e661a9f5bcb4801c4de401a5b73ce212f9115cca5ba63f8 and verify it against the retained values.,medium,"This is an evidence-byte gap, not a missing model-value or calculation gap."
Original v13 source-case and full CBC result bytes,"The installed v13 folder and BASE_V13 result files were not frozen. Their hashes, solve identity, exact extracted 2020 capacities, fingerprints, formulas, and validation narrative survive inside the v15-retained v14 records.",Recover files matching the retained hashes and store them under evidence/stock_turnover without replacing the current records.,medium,All v14 stock values derived from them are retained exactly in stock_turnover_generation.json and PARAMETER_CHANGE_LOG.csv.
Local copies and checksums of some v14 official publications,"The v14 source register retained exact public URLs and selections but did not freeze every DOE, LTO, PSA, NTRC, WGC, and IRENA publication byte.","Download the exact cited editions, retain them without replacing the register, and append verified checksums.",low,"The citations, model use, formulas, assumptions, and every changed parameter value are already retained."
