source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,local_file,notes
SRC_PHL_V12_REPOSITORY,EAPD-DRB,CLEWs-PHL Philippines v12 package,4690597ac3511f402990b03ecfc4182f70b3850b,2020-2053,Philippines,"Retained configuration, raw inputs, documentation and artifacts",model-native; row-specific units are in MODEL_MAP.csv,Philippines_v12_CLEWs_build at the named Git commit; every map row adds an exact file and CSV line,https://github.com/EAPD-DRB/CLEWs-PHL/tree/4690597ac3511f402990b03ecfc4182f70b3850b/Philippines_v12_CLEWs_build,2026-07-30,Apache-2.0; third-party data retain provider terms,
SRC_CLEWS_GLOBAL_PINNED,DeltaE,CLEWs Global workflow,8df78c66be104e446f84a7dbb0df1c0a4fda4080,build executed in 2026,Philippines,Workflow orchestration and country configuration,software,config/upstream_versions.json workflow.commit; local patches and overrides preserve changed files,https://github.com/DeltaE/CLEWs_Global/tree/8df78c66be104e446f84a7dbb0df1c0a4fda4080,2026-07-30,MIT; see retained license,,,
SRC_CLEWS_GAEZ_PINNED,OSeMOSYS,CLEWs GAEZ workflow,30ec12e6524dc9c8ce474ffe1a467508f992007f,GAEZ v4 / 2010 land-cover baseline,Philippines,"Boundary processing, raster extraction and clustering",software,config/upstream_versions.json submodules.CLEWs_GAEZ.commit; overrides/workflow/submodules/CLEWs_GAEZ,https://github.com/OSeMOSYS/CLEWs_GAEZ/tree/30ec12e6524dc9c8ce474ffe1a467508f992007f,2026-07-30,MIT; see retained license,,,
SRC_CLEWSY_PINNED,OSeMOSYS,clewsy nexus integration,6eefaf2abc6d91917c0fddfeea373db37443a8dd,build executed in 2026,Philippines,"Land, crop and water conversion into OSeMOSYS inputs",software,config/upstream_versions.json submodules.clewsy.commit; overrides/workflow/submodules/clewsy,https://github.com/OSeMOSYS/clewsy/tree/6eefaf2abc6d91917c0fddfeea373db37443a8dd,2026-07-30,See retained clewsy license,,,
SRC_OSEMOSYS_GLOBAL_PINNED,OSeMOSYS community,OSeMOSYS Global,036fdd07cc0dc31df1649cdc1689a8aa35a83a36,workflow data vintages embedded at pinned commit,Philippines,Raw energy-system input generation,"PJ, GW, M$, MT and parameter-specific ratios",config/upstream_versions.json submodules.osemosys_global.commit,https://github.com/OSeMOSYS/osemosys_global/tree/036fdd07cc0dc31df1649cdc1689a8aa35a83a36,2026-07-30,AGPL-3.0; see retained license,
SRC_OSEMOSYS_GLOBAL_UNITS,OSeMOSYS community,OSeMOSYS Global unit table,036fdd07cc0dc31df1649cdc1689a8aa35a83a36,unit convention at pinned commit,Global,"Energy, capacity, cost and emissions model-unit convention",Energy=PJ; Capacity=GW; Cost=M$; Emissions=MT,docs/data_tables/units.csv at the pinned commit,https://github.com/OSeMOSYS/osemosys_global/blob/036fdd07cc0dc31df1649cdc1689a8aa35a83a36/docs/data_tables/units.csv,2026-07-30,AGPL-3.0,
SRC_GADM41_PHL0,GADM,GADM administrative boundaries,4.1,version 4.1,"Philippines, administrative level 0",National polygon used for clipping and land-cell construction,EPSG:4326 polygon geometry,"Country=Philippines (PHL), level=0; retained components geospatial/boundary/gadm41_PHL_0.{shp,shx,dbf,prj}",https://gadm.org/download_country.html,2026-07-30,GADM license and provider terms,
SRC_GAEZ_V4,FAO and IIASA,Global Agro-Ecological Zones version 4,GAEZ v4 (2021 release),1961-2010 climate; 2010 land-cover baseline,Philippines,"Potential yield, crop water deficit, evapotranspiration, precipitation and land cover",yield and water raster units; converted model units recorded in MODEL_MAP.csv,"GAEZ v4 agro-climatic potential-yield and land/water modules; retained summary headers enumerate yld, cwd, evt, precipitation and LCType variables",https://www.fao.org/gaez/gaezv4/en,2026-07-30,FAO/IIASA provider terms,
SRC_FAOSTAT_2020,FAO,FAOSTAT Crop and livestock products,release containing 2020 data,2020,Philippines,Crop harvested area and production used for crop selection and demand anchors,ha and tonnes,Crop and livestock products domain; Area harvested and Production; Philippines; 2020; crop names mapped in retained Crop_code.csv,https://www.fao.org/faostat/en/#data/QCL,2026-07-30,FAOSTAT terms of use,
SRC_PAGASA_SEASONS,DOST-PAGASA,Climate of the Philippines,web page accessed 2026-07-30,climatological description,Philippines,Rainy and dry season month definitions,calendar months,Section 'The Seasons': rainy June-November; dry December-May,https://www.pagasa.dost.gov.ph/information/climate-philippines,2026-07-30,Philippine government information; provider terms apply,
SRC_CROP_CODE_MAPPING,CLEWs GAEZ / Philippines v12 build,Crop-code mapping,4690597ac3511f402990b03ecfc4182f70b3850b,2020 crop selection,Philippines,FAOSTAT item names to GAEZ crop codes,categorical crop codes,"overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/Data/Crop_code.csv; rows for RCP, CON, MZE, TOM and SGC",https://github.com/EAPD-DRB/CLEWs-PHL/blob/4690597ac3511f402990b03ecfc4182f70b3850b/Philippines_v12_CLEWs_build/overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/Data/Crop_code.csv,2026-07-30,Apache-2.0 package; upstream/provider terms apply,
